variant,block,order,mode,threads,multipv,position,elapsed_ns,stop_lag_ns,nodes,depth,score,bestmove,callbacks,max_pv,last_pv,engine_time_ms
baseline,2,0,stop,1,1,selfplay-88,252614122,2328454,140312,14,cp 3573,2h2g,15,14,14,252
baseline,2,0,stop,1,8,complex-middle,252331239,2193429,185945,8,cp -127,B*6h,65,11,8,252
baseline,2,0,stop,1,8,movegen-heavy,252891845,2604404,189747,8,cp -1183,S*2h,65,8,8,252
baseline,2,0,stop,1,8,selfplay-88,252463759,2176538,156192,10,cp 2995,2h2g,81,12,11,252
fixed,2,1,stop,1,1,complex-middle,252660229,2376365,163043,9,cp -426,B*6h,10,17,17,252
fixed,2,1,stop,1,1,movegen-heavy,252797817,2513783,158188,11,cp -1582,G*3c,12,10,7,252
fixed,2,1,stop,1,1,selfplay-88,252984098,2425527,140552,14,cp 3573,2h2g,15,11,7,252
fixed,2,1,stop,1,8,complex-middle,252416300,2129880,179513,8,cp -127,B*6h,65,11,8,252
fixed,2,1,stop,1,8,movegen-heavy,252619321,2337210,190358,9,cp -1618,N*2c,73,9,9,252
fixed,2,1,stop,1,8,selfplay-88,252833936,2218086,154544,10,cp 2466,2h2g,81,15,3,252
fixed,2,2,stop,1,1,complex-middle,252492724,2213989,161731,9,cp -426,B*6h,10,17,17,252
fixed,2,2,stop,1,1,movegen-heavy,252080046,1806401,155532,11,cp -1582,G*3c,12,10,7,251
fixed,2,2,stop,1,1,selfplay-88,252951927,2666390,140100,14,cp 3573,2h2g,15,11,7,252
fixed,2,2,stop,1,8,complex-middle,252898958,2611006,186538,8,cp -127,B*6h,65,11,8,252
fixed,2,2,stop,1,8,movegen-heavy,252714131,2429555,188158,8,cp -1183,S*2h,65,8,8,252
fixed,2,2,stop,1,8,selfplay-88,253196509,2912754,155295,10,cp 2995,2h2g,81,12,11,253
baseline,2,3,stop,1,1,complex-middle,252532499,2253804,162062,9,cp -426,B*6h,10,18,18,252
baseline,2,3,stop,1,1,movegen-heavy,252103010,1827010,155815,11,cp -1582,G*3c,12,10,7,252
baseline,2,3,stop,1,1,selfplay-88,252128738,1854391,139065,14,cp 3573,2h2g,15,14,14,252
baseline,2,3,stop,1,8,complex-middle,252552335,2279221,186443,8,cp -127,B*6h,65,11,8,252
baseline,2,3,stop,1,8,movegen-heavy,252516929,2242662,188952,8,cp -1183,S*2h,65,8,8,252
baseline,2,3,stop,1,8,selfplay-88,252853683,2580328,155893,10,cp 2995,2h2g,81,12,11,252
baseline,3,0,stop,1,1,complex-middle,252593483,2317583,160465,9,cp -426,B*6h,10,18,18,252
baseline,3,0,stop,1,1,movegen-heavy,252920239,2647876,156916,11,cp -1582,G*3c,12,10,7,252
baseline,3,0,stop,1,1,selfplay-88,253238527,2960935,139308,14,cp 3573,2h2g,15,14,14,253
baseline,3,0,stop,1,8,complex-middle,252803909,2517419,186120,8,cp -127,B*6h,65,11,8,252
baseline,3,0,stop,1,8,movegen-heavy,252518843,2231772,188952,8,cp -1183,S*2h,65,8,8,252
baseline,3,0,stop,1,8,selfplay-88,252324166,2037616,154084,10,cp 2995,2h2g,81,12,11,252
