variant,block,order,mode,threads,position,multipv,ns,nodes,depth,score,bestmove,callbacks,emitted_moves
fixed,1,2,time,1,2,1,200076010,197257,14,790,8h2b+,15,124
fixed,1,2,time,1,2,4,200119973,199637,10,534,8h2b+,41,231
baseline,1,3,time,1,0,1,200119271,262452,13,0,5i5h,14,75
baseline,1,3,time,1,0,4,200153716,253534,10,7,5i5h,41,183
baseline,1,3,time,1,1,1,200022501,216230,12,0,2e2d,13,86
baseline,1,3,time,1,1,4,200061454,218483,11,23,2e2d,45,242
baseline,1,3,time,1,2,1,200064691,198940,14,790,8h2b+,15,125
baseline,1,3,time,1,2,4,200104245,202511,10,534,8h2b+,41,239
baseline,2,0,time,1,0,1,200083887,255709,13,0,5i5h,14,75
baseline,2,0,time,1,0,4,200127920,246680,10,7,5i5h,41,183
baseline,2,0,time,1,1,1,200114646,213108,12,0,2e2d,13,86
baseline,2,0,time,1,1,4,200023585,217992,11,23,2e2d,45,242
baseline,2,0,time,1,2,1,200146806,191573,14,790,8h2b+,15,125
baseline,2,0,time,1,2,4,200048372,198354,10,534,8h2b+,41,239
fixed,2,1,time,1,0,1,200051879,256687,13,0,5i5h,14,74
fixed,2,1,time,1,0,4,200064512,248157,10,7,5i5h,41,182
fixed,2,1,time,1,1,1,200100671,218636,12,0,2e2d,13,86
fixed,2,1,time,1,1,4,200019188,217327,11,23,2e2d,45,237
fixed,2,1,time,1,2,1,200162628,196452,14,790,8h2b+,15,124
fixed,2,1,time,1,2,4,200160104,199114,10,534,8h2b+,41,231
fixed,2,2,time,1,0,1,200100822,260361,13,0,5i5h,14,74
fixed,2,2,time,1,0,4,200117324,255009,10,7,5i5h,41,182
fixed,2,2,time,1,1,1,200042303,219937,12,0,2e2d,13,86
fixed,2,2,time,1,1,4,200050389,216545,11,23,2e2d,45,237
fixed,2,2,time,1,2,1,200101014,191321,14,790,8h2b+,15,124
fixed,2,2,time,1,2,4,200213055,202995,10,534,8h2b+,41,231
baseline,2,3,time,1,0,1,200165566,263168,13,0,5i5h,14,75
baseline,2,3,time,1,0,4,200120692,252088,10,7,5i5h,41,183
baseline,2,3,time,1,1,1,200035974,207383,12,0,2e2d,13,86
baseline,2,3,time,1,1,4,200170717,216320,11,23,2e2d,45,242
baseline,2,3,time,1,2,1,200118378,198004,14,790,8h2b+,15,125
baseline,2,3,time,1,2,4,200143155,198354,10,534,8h2b+,41,239
baseline,3,0,time,1,0,1,200114222,256441,13,0,5i5h,14,75
baseline,3,0,time,1,0,4,200059570,252088,10,7,5i5h,41,183
baseline,3,0,time,1,1,1,200128089,212608,12,0,2e2d,13,86
baseline,3,0,time,1,1,4,200162393,214095,11,23,2e2d,45,242
baseline,3,0,time,1,2,1,200162714,196212,14,790,8h2b+,15,125
